"SR_LN.R0.","TOTAL","Length_comp","Survey","Recruitment","SR_LN.R0..1","model","Label","ALL","S1_JPN_WCNPO_OSDWLL_early_Area1","S2_JPN_WCNPO_OSDWCOLL_late_Area1","S3_JPN_WCNPO_OSDWLL_early_Area2","S4_JPN_WCNPO_OSDWLL_late_Area2","S5_TWN_WCNPO_DWLL_late","S6_US_WCNPO_LL_deep","S7_US_WCNPO_LL_shallow_early","S8_US_WCNPO_LL_shallow_late","SR_LN.R0..2","model.1","Label.1","ALL.1","F9_US_WCNPO_LL_deep","SR_LN.R0..3","model.2","Label.2","ALL.2","F1_JPN_WCNPO_OSDWCOLL_late_Area1","F2_TWN_WCNPO_DWLL_late","F3_US_WCNPO_LL_shallow_late","F4_IATTC","F6_JPN_WCNPO_OSDWLL_early_Area1","F7_JPN_WCNPO_CODF","F8_US_WCNPO_LL_shallow_early","F9_US_WCNPO_LL_deep.1"
7,0.940000000000055,2.07000000000016,0,0,7,2,"Surv_like",0,0,0,0.3612,0.770899999999997,0,0,0.00366,1.0592,7,2,"Catch_like",0.000161761,0.000161749,7,2,"Length_like",2.07000000000016,0.0310000000000059,0,0.660000000000025,2.6193,0,1.0767,1.14920000000001,0
7.1,1.61999999999989,2.55000000000018,0.070999999999998,0.1371,7.1,3,"Surv_like",0.070999999999998,0.176100000000002,0.176400000000001,0.184699999999999,0.507100000000001,0.1968,0.280699999999996,0,0.743600000000001,7.1,3,"Catch_like",0.000121173,0.000121165,7.1,3,"Length_like",2.55000000000018,0.361999999999966,0.0589999999999975,0.530000000000001,2.8834,0.169699999999999,0.903999999999996,0.909500000000008,0.190000000000055
7.2,0.789999999999964,1.51999999999998,0.188999999999993,0.215600000000002,7.2,4,"Surv_like",0.188999999999993,0.202400000000001,0.299799999999998,0.161000000000001,0.400399999999998,0.256499999999999,0.457499999999996,0.000160000000001048,0.605800000000002,7.2,4,"Catch_like",9.0795e-05,9.0789e-05,7.2,4,"Length_like",1.51999999999998,0.307999999999993,0.174000000000007,0.447000000000003,2.1295,0.191399999999994,0.698700000000002,0.736000000000004,0.294999999999845
7.3,0.329999999999927,0.880000000000109,0.296999999999997,0.286200000000001,7.3,5,"Surv_like",0.296999999999997,0.229200000000002,0.409700000000001,0.1343,0.311699999999995,0.3127,0.6008,0.00135000000000041,0.491900000000001,7.3,5,"Catch_like",6.78557e-05,6.78516e-05,7.3,5,"Length_like",0.880000000000109,0.266999999999996,0.281000000000006,0.375,1.5878,0.189599999999999,0.530599999999993,0.592600000000004,0.519999999999982
7.4,0.0999999999999091,0.480000000000018,0.406000000000006,0.345500000000001,7.4,6,"Surv_like",0.406000000000006,0.260300000000001,0.518299999999996,0.109100000000002,0.2378,0.363,0.720999999999997,0.00296999999999947,0.388100000000001,7.4,6,"Catch_like",5.01934e-05,5.01905e-05,7.4,6,"Length_like",0.480000000000018,0.225999999999999,0.385999999999996,0.305000000000007,1.1709,0.185699999999997,0.397599999999997,0.467800000000011,0.804999999999836
7.5,0.00999999999999091,0.230000000000018,0.509999999999991,0.399100000000001,7.5,7,"Surv_like",0.509999999999991,0.288600000000002,0.616799999999998,0.0858000000000025,0.178599999999996,0.408199999999999,0.822299999999998,0.00473999999999997,0.299200000000003,7.5,7,"Catch_like",3.63959e-05,3.63939e-05,7.5,7,"Length_like",0.230000000000018,0.185000000000002,0.474000000000018,0.241000000000014,0.847200000000001,0.178999999999995,0.29249999999999,0.360399999999998,1.11500000000001
7.54301,0,0.160000000000309,0.551999999999992,0.4206,7.54301,1,"Surv_like",0.551999999999992,0.299900000000001,0.656399999999998,0.0766000000000027,0.156500000000001,0.426299999999999,0.8611,0.00553000000000026,0.264700000000001,7.54301,1,"Catch_like",3.1403e-05,3.14013e-05,7.54301,1,"Length_like",0.160000000000309,0.166999999999973,0.50800000000001,0.216000000000008,0.731400000000001,0.175699999999999,0.254099999999994,0.319000000000003,1.25499999999988
7.6,0.00999999999999091,0.0900000000001455,0.606999999999999,0.447600000000001,7.6,8,"Surv_like",0.606999999999999,0.314,0.706299999999999,0.0649000000000015,0.1297,0.449399999999999,0.908699999999996,0.00660000000000061,0.222000000000001,7.6,8,"Catch_like",2.55163e-05,2.55149e-05,7.6,8,"Length_like",0.0900000000001455,0.142999999999972,0.549000000000007,0.183999999999997,0.595200000000006,0.170999999999999,0.208399999999997,0.267900000000012,1.43499999999995
7.7,0.0699999999999363,0.0199999999999818,0.697000000000003,0.491099999999999,7.7,9,"Surv_like",0.697000000000003,0.3367,0.786099999999998,0.0459999999999994,0.0889999999999986,0.4869,0.9831,0.00844000000000023,0.154900000000001,7.7,9,"Catch_like",1.68772e-05,1.68764e-05,7.7,9,"Length_like",0.0199999999999818,0.103000000000009,0.613,0.131,0.395700000000005,0.161999999999999,0.140199999999993,0.18780000000001,1.75499999999988
7.8,0.180000000000064,0,0.777999999999992,0.529800000000002,7.8,10,"Surv_like",0.777999999999992,0.357100000000003,0.857199999999999,0.0290999999999997,0.0546000000000006,0.521099999999999,1.0475,0.0102399999999996,0.0963000000000029,7.8,10,"Catch_like",9.98e-06,9.9795e-06,7.8,10,"Length_like",0,0.0670000000000073,0.667000000000002,0.0829999999999984,0.235600000000005,0.1526,0.0842999999999989,0.1173,2.05999999999995
